Label,Name,Pronunciation,Image,"Abs.
magn.","Diameter
(km)","Mass
(×1015 kg)","Semi-major
axis
(km)",Orbital period (d),"Inclination
(°)",Eccentricity,Group,"Discovery
year",Year announced,Discoverer
,‡S/2019 S 36,―,,16.8,≈ 3,≈ 0.014,19903200,−1048.42,166.9,0.161,Norse group (Mundilfari),2019,2025,Ashton et al.
,‡S/2006 S 13,—,,16.1,≈ 4,≈ 0.034,19953300,−1052.32,162.0,0.313,Norse group (Mundilfari),2006,2023,Sheppard et al.
,‡S/2019 S 37,―,,16.7,≈ 3,≈ 0.014,19996900,−1055.78,149.9,0.404,Norse group (low-inclination),2019,2025,Ashton et al.
,‡S/2023 S 48,―,,16.6,≈ 3,≈ 0.014,20029200,−1058.35,169.7,0.022,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2023 S 29,―,,16.7,≈ 3,≈ 0.014,20042400,−1059.42,172.2,0.141,Norse group (Phoebe),2023,2025,Ashton et al.
,‡S/2023 S 59,―,,16.9,≈ 2,≈ 0.004,20064000,−1061.04,169.5,0.467,Norse group (Mundilfari),2023,2026,Ashton et al.
,‡S/2007 S 9,—,,16.1,≈ 4,≈ 0.034,20174600,−1069.81,159.3,0.360,Norse group (Mundilfari),2007,2023,Sheppard et al.
,‡S/2019 S 7,—,,16.3,≈ 4,≈ 0.034,20185100,−1070.80,174.2,0.233,Norse group (Phoebe),2019,2023,Ashton et al.
,‡S/2019 S 8,—,,16.3,≈ 4,≈ 0.034,20287400,−1078.86,172.8,0.311,Norse group (Phoebe),2019,2023,Ashton et al.
XL,‡Farbauti,/fɑːrˈbaʊti/,,15.8,≈ 5,≈ 0.065,20290700,−1079.12,156.2,0.249,Norse group (Kari),2004,2005,Sheppard et al.
XXX,‡Thrymr,/ˈθrɪmər/,,14.3,≈ 8,≈ 0.38,20330500,−1082.23,175.0,0.467,Norse group (Phoebe),2000,2000,Gladman et al.
XXXIX,‡Bestla,/ˈbɛstlə/,,14.6,≈ 7,≈ 0.27,20337800,−1082.94,138.3,0.486,Norse group (low-inclination),2004,2005,Sheppard et al.
,‡S/2019 S 9,—,,16.3,≈ 4,≈ 0.034,20359700,−1084.62,159.5,0.433,Norse group (Mundilfari),2019,2023,Ashton et al.
,‡S/2023 S 32,―,,17.2,≈ 2,≈ 0.004,20454400,−1092.24,169.8,0.037,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2004 S 46,—,,16.4,≈ 3,≈ 0.014,20513800,−1096.99,177.2,0.249,Norse group (Phoebe),2004,2023,Sheppard et al.
,‡S/2023 S 57,―,,17.2,≈ 2,≈ 0.004,20536100,−1098.83,168.0,0.245,Norse group (Mundilfari),2023,2026,Ashton et al.
LV,‡Angrboda,/ˈɑːŋɡərboʊðə/,,16.1,≈ 4,≈ 0.034,20591500,−1103.20,177.7,0.216,Norse group (Phoebe),2004,2019,Sheppard et al.
,‡S/2020 S 24,―,,16.8,≈ 3,≈ 0.014,20618300,−1105.41,159.6,0.230,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2019 S 11,—,,16.3,≈ 4,≈ 0.034,20664200,−1109.11,144.6,0.513,Norse group (low-inclination),2019,2023,Ashton et al.
XXXVI,‡Aegir,/ˈaɪ.ɪər/,,15.5,≈ 6,≈ 0.065,20664400,−1109.13,166.1,0.255,Norse group (Mundilfari),2004,2005,Sheppard et al.
,‡S/2019 S 10,—,,16.7,≈ 3,≈ 0.014,20700300,−1111.99,163.9,0.248,Norse group (Mundilfari),2019,2023,Ashton et al.
LXI,‡Beli,/ˈbeɪli/,,16.1,≈ 4,≈ 0.034,20703700,−1112.27,158.9,0.087,Norse group (Mundilfari),2004,2019,Sheppard et al.
,‡S/2023 S 31,―,,17.0,≈ 3,≈ 0.014,20729200,−1114.29,163.0,0.182,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2020 S 25,―,,17.0,≈ 3,≈ 0.014,20763700,−1117.09,171.8,0.316,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2023 S 34,―,,16.6,≈ 3,≈ 0.014,20803900,−1120.38,168.4,0.570,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2023 S 39,―,,16.8,≈ 3,≈ 0.014,20824500,−1121.99,164.8,0.124,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2019 S 12,—,,16.3,≈ 4,≈ 0.034,20895000,−1127.60,167.1,0.476,Norse group (Mundilfari),2019,2023,Ashton et al.
LVII,‡Gerd,/ˈjɛərð/,,15.9,≈ 4,≈ 0.034,20947500,−1131.91,174.4,0.517,Norse group (Phoebe),2004,2019,Sheppard et al.
,‡S/2019 S 13,—,,16.7,≈ 3,≈ 0.014,20964500,−1133.27,177.3,0.318,Norse group (Phoebe),2019,2023,Ashton et al.
,‡S/2004 S 61,―,,16.3,≈ 4,≈ 0.034,20986900,−1135.06,168.4,0.466,Norse group (Mundilfari),2004,2025,Sheppard et al.
,‡S/2006 S 14,—,,16.5,≈ 3,≈ 0.014,21062300,−1141.27,166.7,0.060,Norse group (Mundilfari),2006,2023,Sheppard et al.
,‡S/2023 S 40,―,,16.9,≈ 3,≈ 0.014,21065100,−1141.48,169.6,0.342,Norse group (Mundilfari),2023,2025,Ashton et al.
LXII,‡Gunnlod,/ˈɡʊnlɒð/,,15.7,≈ 4,≈ 0.065,21141800,−1147.74,160.4,0.251,Norse group (Mundilfari),2004,2019,Sheppard et al.
,‡S/2019 S 15,—,,16.6,≈ 3,≈ 0.014,21191100,−1151.66,157.8,0.257,Norse group (Mundilfari),2019,2023,Ashton et al.
,‡S/2020 S 6,—,,16.6,≈ 3,≈ 0.014,21253300,−1156.81,166.9,0.480,Norse group (Mundilfari),2020,2023,Ashton et al.
,‡S/2020 S 26,―,,16.6,≈ 3,≈ 0.014,21264400,−1157.77,163.2,0.273,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2023 S 41,―,,16.7,≈ 3,≈ 0.014,21286400,−1159.52,172.1,0.279,Norse group (Phoebe),2023,2025,Ashton et al.
LXVII,‡S/2004 S 7,—,,15.5,≈ 5,≈ 0.065,21327600,−1162.93,164.8,0.511,Norse group (Mundilfari),2004,2005,Sheppard et al.
,‡S/2006 S 3,—,,15.7,≈ 5,≈ 0.065,21353100,−1165.02,156.1,0.432,Norse group (Kari),2006,2006,Sheppard et al.
,‡S/2005 S 5,—,,16.4,≈ 3,≈ 0.014,21364900,−1165.96,169.5,0.588,Norse group (Mundilfari),2005,2023,Sheppard et al.
,‡S/2020 S 47,―,,16.7,≈ 3,≈ 0.014,21397400,−1168.58,146.1,0.564,Norse group (low-inclination),2020,2026,Ashton et al.
LVI,‡Skrymir,/ˈskrɪmɪər/,,15.5,≈ 4,≈ 0.065,21447400,−1172.72,175.6,0.437,Norse group (Phoebe),2004,2019,Sheppard et al.
,‡S/2023 S 33,―,,16.8,≈ 3,≈ 0.014,21621900,−1187.07,155.8,0.665,Norse group (Kari),2023,2025,Ashton et al.
,‡S/2006 S 16,—,,16.5,≈ 3,≈ 0.014,21721200,−1195.13,164.1,0.204,Norse group (Mundilfari),2006,2023,Sheppard et al.
,‡S/2023 S 49,―,,16.7,≈ 3,≈ 0.014,21766500,−1198.99,171.7,0.026,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2020 S 30,―,,16.7,≈ 3,≈ 0.014,21790700,−1201.02,154.2,0.601,Norse group (Kari),2020,2025,Ashton et al.
,‡S/2006 S 15,—,,16.2,≈ 4,≈ 0.034,21799600,−1201.69,161.1,0.117,Norse group (Mundilfari),2006,2023,Sheppard et al.
,‡S/2020 S 27,―,,16.4,≈ 3,≈ 0.014,21802300,−1202.02,145.3,0.255,Norse group (low-inclination),2020,2025,Ashton et al.
,‡S/2023 S 42,―,,16.7,≈ 3,≈ 0.014,21837000,−1204.81,166.7,0.059,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2004 S 28,—,,15.8,≈ 5,≈ 0.065,21865900,−1207.18,167.9,0.159,Norse group (Mundilfari),2004,2019,Sheppard et al.
,‡S/2020 S 32,―,,16.7,≈ 3,≈ 0.014,21884100,−1208.85,169.1,0.502,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2006 S 28,―,,16.3,≈ 4,≈ 0.034,21955100,−1214.53,172.9,0.210,Norse group (Phoebe),2006,2025,Sheppard et al.
,‡S/2020 S 8,—,,16.4,≈ 3,≈ 0.014,21967200,−1215.61,161.8,0.252,Norse group (Mundilfari),2020,2023,Ashton et al.
,‡S/2020 S 28,―,,16.7,≈ 3,≈ 0.014,21993700,−1217.81,160.1,0.474,Norse group (Mundilfari),2020,2025,Ashton et al.
LXV,‡Alvaldi,/ɔːlˈvɔːldi/,,15.6,≈ 6,≈ 0.065,21993800,−1217.80,177.4,0.238,Norse group (Phoebe),2004,2019,Sheppard et al.
,‡S/2019 S 38,―,,16.7,≈ 3,≈ 0.014,21998400,−1218.27,163.0,0.399,Norse group (Mundilfari),2019,2025,Ashton et al.
XLV,‡Kari,/ˈkɑːri/,,14.5,≈ 6,≈ 0.27,22032100,−1220.98,153.0,0.469,Norse group (Kari),2006,2006,Sheppard et al.
,‡S/2004 S 48,—,,16.0,≈ 4,≈ 0.034,22137400,−1229.86,161.9,0.374,Norse group (Mundilfari),2004,2023,Sheppard et al.
,‡S/2023 S 36,―,,16.8,≈ 3,≈ 0.014,22230600,−1237.61,166.3,0.359,Norse group (Mundilfari),2023,2025,Ashton et al.
LXVI,‡Geirrod,/ˈjeɪrɒd/,,15.9,≈ 4,≈ 0.034,22259400,−1240.05,154.4,0.539,Norse group (Kari),2004,2019,Sheppard et al.
,‡S/2023 S 35,―,,16.8,≈ 3,≈ 0.014,22269700,−1240.76,168.5,0.151,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2020 S 29,―,,16.8,≈ 3,≈ 0.014,22301400,−1243.45,169.1,0.047,Norse group (Mundilfari),2020,2025,Ashton et al.
XLI,‡Fenrir,/ˈfɛnrɪər/,,15.8,≈ 4,≈ 0.034,22330800,−1245.92,164.5,0.137,Norse group (Mundilfari),2004,2005,Sheppard et al.
,‡S/2004 S 50,—,,16.4,≈ 3,≈ 0.014,22345000,−1247.19,164.0,0.450,Norse group (Mundilfari),2004,2023,Sheppard et al.
,‡S/2006 S 17,—,,16.0,≈ 4,≈ 0.034,22384200,−1250.46,168.7,0.425,Norse group (Mundilfari),2006,2023,Sheppard et al.
,‡S/2004 S 49,—,,16.0,≈ 4,≈ 0.034,22399400,−1251.68,159.8,0.453,Norse group (Mundilfari),2004,2023,Sheppard et al.
,‡S/2020 S 34,―,,16.5,≈ 3,≈ 0.014,22435600,−1254.61,160.6,0.154,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2020 S 31,―,,16.5,≈ 3,≈ 0.014,22457300,−1256.50,163.8,0.238,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2023 S 52,―,,16.9,≈ 3,≈ 0.014,22528000,−1262.34,146.2,0.124,Norse group (low-inclination),2023,2026,Ashton et al.
,‡S/2023 S 43,―,,16.4,≈ 3,≈ 0.014,22563900,−1265.57,170.3,0.264,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2019 S 17,—,,15.9,≈ 4,≈ 0.034,22722700,−1278.96,155.5,0.546,Norse group (Kari),2019,2023,Ashton et al.
XLVIII,‡Surtur,/ˈsɜːrtər/,,15.7,≈ 6,≈ 0.065,22748000,−1281.14,168.4,0.448,Norse group (Mundilfari),2006,2006,Sheppard et al.
,‡S/2006 S 18,—,,16.1,≈ 4,≈ 0.034,22760600,−1282.09,169.5,0.131,Norse group (Mundilfari),2006,2023,Sheppard et al.
,‡S/2020 S 36,―,,16.6,≈ 3,≈ 0.014,22806200,−1286.03,168.8,0.336,Norse group (Mundilfari),2020,2025,Ashton et al.
XLVI,‡Loge,/ˈlɔɪ.eɪ/,,15.4,≈ 5,≈ 0.11,22919200,−1295.52,168.1,0.191,Norse group (Mundilfari),2006,2006,Sheppard et al.
,‡S/2020 S 33,―,,16.9,≈ 3,≈ 0.014,22922500,−1295.85,162.8,0.555,Norse group (Mundilfari),2020,2025,Ashton et al.
XIX,‡Ymir,/ˈiːmɪər/,,12.2,≈ 19,≈ 5.6,22955600,−1298.68,172.3,0.338,Norse group (Phoebe),2000,2000,Gladman et al.
,‡S/2020 S 35,―,,16.7,≈ 3,≈ 0.014,23030300,−1304.97,174.9,0.225,Norse group (Phoebe),2020,2025,Ashton et al.
,‡S/2019 S 19,—,,16.5,≈ 3,≈ 0.014,23044400,−1306.16,151.8,0.458,Norse group (Kari),2019,2023,Ashton et al.
,‡S/2019 S 18,—,,16.6,≈ 3,≈ 0.014,23139500,−1314.27,154.6,0.509,Norse group (Kari),2019,2023,Ashton et al.
,‡S/2004 S 21,—,,16.2,≈ 4,≈ 0.034,23160900,−1316.12,153.2,0.394,Norse group (Kari),2004,2019,Sheppard et al.
,‡S/2004 S 39,—,,16.1,≈ 4,≈ 0.034,23192400,−1318.74,165.9,0.100,Norse group (Mundilfari),2004,2019,Sheppard et al.
,‡S/2019 S 16,—,,16.7,≈ 3,≈ 0.014,23265200,−1324.95,162.0,0.250,Norse group (Mundilfari),2019,2023,Ashton et al.
,‡S/2004 S 53,—,,16.2,≈ 4,≈ 0.034,23279800,−1326.18,162.6,0.240,Norse group (Mundilfari),2004,2023,Sheppard et al.
,♣S/2004 S 24,—,,16.0,≈ 4,≈ 0.034,23338200,+1331.32,37.4,0.071,Gallic group,2004,2019,Sheppard et al.
,‡S/2004 S 36,—,,16.2,≈ 4,≈ 0.034,23390800,−1335.80,153.3,0.625,Norse group (Kari),2004,2019,Sheppard et al.
,‡S/2023 S 51,―,,16.8,≈ 3,≈ 0.014,23431500,−1339.21,163.3,0.191,Norse group (Mundilfari),2023,2026,Ashton et al.
,‡S/2023 S 45,―,,16.9,≈ 3,≈ 0.014,23438400,−1339.85,157.4,0.633,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2020 S 45,―,,16.6,≈ 3,≈ 0.014,23507700,−1345.79,172.8,0.199,Norse group (Phoebe),2020,2026,Ashton et al.
LXIII,‡Thiazzi,/θiˈætsi/,,15.9,≈ 4,≈ 0.034,23577500,−1351.83,158.8,0.511,Norse group (Mundilfari),2004,2019,Sheppard et al.
,‡S/2020 S 38,―,,16.1,≈ 4,≈ 0.034,23583900,−1352.43,159.7,0.513,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2019 S 20,—,,16.7,≈ 3,≈ 0.014,23677900,−1360.47,156.0,0.354,Norse group (Kari),2019,2023,Ashton et al.
,‡S/2020 S 37,―,,16.6,≈ 3,≈ 0.014,23751800,−1366.82,174.8,0.344,Norse group (Phoebe),2020,2025,Ashton et al.
,‡S/2019 S 39,―,,16.7,≈ 3,≈ 0.014,23784500,−1369.64,174.5,0.098,Norse group (Phoebe),2019,2025,Ashton et al.
,‡S/2020 S 40,―,,16.6,≈ 3,≈ 0.014,23785900,−1369.76,167.3,0.412,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2006 S 19,—,,16.1,≈ 4,≈ 0.034,23800500,−1371.02,175.5,0.467,Norse group (Phoebe),2006,2023,Sheppard et al.
,‡S/2019 S 40,―,,16.6,≈ 3,≈ 0.014,24087800,−1395.88,161.8,0.088,Norse group (Mundilfari),2019,2025,Ashton et al.
,‡S/2019 S 42,―,,15.9,≈ 4,≈ 0.034,24111600,−1397.98,163.2,0.121,Norse group (Mundilfari),2019,2025,Ashton et al.
LXIV,‡S/2004 S 34,—,,16.1,≈ 4,≈ 0.034,24145800,−1400.93,168.3,0.279,Norse group (Mundilfari),2004,2019,Sheppard et al.
,‡S/2020 S 39,―,,16.7,≈ 3,≈ 0.014,24262400,−1411.15,160.1,0.305,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2019 S 41,―,,16.9,≈ 3,≈ 0.014,24493600,−1431.30,157.1,0.257,Norse group (Mundilfari),2019,2025,Ashton et al.
,‡S/2023 S 46,―,,16.8,≈ 3,≈ 0.014,24708900,−1450.27,143.2,0.336,Norse group (low-inclination),2023,2025,Ashton et al.
XLII,‡Fornjot,/ˈfɔːrnjɒt/,,14.7,≈ 6,≈ 0.11,24936800,−1470.36,170.0,0.213,Norse group (Mundilfari),2004,2005,Sheppard et al.
,‡S/2023 S 47,―,,17.0,≈ 3,≈ 0.014,25102300,−1485.04,162.5,0.101,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2004 S 51,—,,16.1,≈ 4,≈ 0.034,25207100,−1494.41,171.2,0.201,Norse group (Mundilfari),2004,2023,Sheppard et al.
,‡S/2006 S 29,―,,16.4,≈ 3,≈ 0.014,25212100,−1494.78,156.2,0.239,Norse group (Kari),2006,2025,Sheppard et al.
,‡S/2020 S 10,—,,16.9,≈ 3,≈ 0.014,25315300,−1503.97,165.6,0.296,Norse group (Mundilfari),2020,2023,Ashton et al.
,‡S/2020 S 42,―,,16.7,≈ 3,≈ 0.014,25329400,−1505.31,157.5,0.506,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2020 S 9,—,,16.0,≈ 4,≈ 0.034,25408700,−1512.38,161.4,0.531,Norse group (Mundilfari),2020,2023,Ashton et al.
,‡S/2023 S 5,―,,16.7,≈ 3,≈ 0.014,25583500,−1528.04,168.8,0.599,Norse group (Mundilfari),2023,2025,Ashton et al.
,‡S/2020 S 41,―,,16.6,≈ 3,≈ 0.014,25876400,−1554.40,160.2,0.402,Norse group (Mundilfari),2020,2025,Ashton et al.
LVIII,‡S/2004 S 26,—,,15.7,≈ 5,≈ 0.065,26097500,−1574.25,172.9,0.147,Norse group (Phoebe),2004,2019,Sheppard et al.
,‡S/2019 S 21,—,,16.2,≈ 4,≈ 0.034,26439500,−1605.28,171.9,0.155,Norse group (Mundilfari),2019,2023,Ashton et al.
,‡S/2004 S 52,—,,16.5,≈ 3,≈ 0.014,26446400,−1605.89,165.4,0.291,Norse group (Mundilfari),2004,2023,Sheppard et al.
,‡S/2020 S 43,―,,16.9,≈ 3,≈ 0.014,26657400,−1625.29,164.6,0.203,Norse group (Mundilfari),2020,2025,Ashton et al.
,‡S/2019 S 43,―,,16.5,≈ 3,≈ 0.014,26664100,−1625.90,165.3,0.277,Norse group (Mundilfari),2019,2025,Ashton et al.
,‡S/2019 S 44,―,,16.4,≈ 3,≈ 0.014,26796900,−1638.11,172.6,0.512,Norse group (Phoebe),2019,2025,Ashton et al.
,‡S/2020 S 44,―,,16.8,≈ 3,≈ 0.014,27259400,−1680.64,168.5,0.199,Norse group (Mundilfari),2020,2025,Ashton et al.
